Rank,Name,Industry,Revenue (USD millions),Revenue growth,Employees,Headquarters
1,Walmart,Retail,"611,289",6.7%,"2,100,000","Bentonville, Arkansas"
2,Amazon,Retail and cloud computing,"513,983",9.4%,"1,540,000","Seattle, Washington"
3,ExxonMobil,Petroleum industry,"413,680",44.8%,"62,000","Spring, Texas"
4,Apple,Electronics industry,"394,328",7.8%,"164,000","Cupertino, California"
5,UnitedHealth Group,Healthcare,"324,162",12.7%,"400,000","Minnetonka, Minnesota"
6,CVS Health,Healthcare,"322,467",10.4%,"259,500","Woonsocket, Rhode Island"
7,Berkshire Hathaway,Conglomerate,"302,089",9.4%,"383,000","Omaha, Nebraska"
8,Alphabet,Technology and Cloud Computing,"282,836",9.8%,"156,000","Mountain View, California"
9,McKesson Corporation,Health,"276,711",4.8%,"48,500","Irving, Texas"
10,Chevron Corporation,Petroleum industry,"246,252",51.6%,"43,846","San Ramon, California"
